en,ru,def,example,tag,now,last_check,days_before,correct,incorrect,wr,coefficient
narrow,сужать,to become less wide or to make something less wide,the road narrows after the bridge.,general,2022-11-09 01:58:18.177416,2022-10-23 13:16:13.267904,16,0,0,0.0,0.0
as well as,так же как,in addition; and also,we have a responsibility to our community as well as to our families.,bring within reach,2022-11-09 01:58:18.177416,2022-10-27 15:28:43.943694,12,0,0,0.0,0.0
neglect,пренебрегать,to not give enough care or attention to people or things that are your responsibility,to neglect your appearance/the house,general,2022-11-09 01:58:18.177416,2022-10-23 12:28:06.557639,16,0,0,0.0,0.0
b,c,b,c,b,2022-11-09 01:58:18.177416,2022-11-09 01:58:18.154388,0,0,0,0.0,0.0
encourage,поощрять,"to make someone more likely to do something, or to make something more likely to happen",we were encouraged to learn foreign languages at school.,general,2022-11-09 01:58:18.177416,2022-10-23 11:13:16.579131,16,0,0,0.0,0.0
burden,бремя,something difficult or unpleasant that you have to deal with or worry about,the burden of responsibility,general,2022-11-09 01:58:18.177416,2022-10-23 12:11:23.037196,16,0,0,0.0,0.0
enormous,громадный,extremely large,They seem to make little difference on any given day and yet the impact they deliver over the months and years can be enormous,habits,2022-11-09 01:58:18.177416,2022-10-23 11:27:32.090263,16,1,4,0.2,0.16257649133963728
accuse,обвинять,"to say that someone has done something morally wrong, illegal, or unkind","""It wasn't my fault."" ""Don't worry, I'm not accusing you.""",frequent,2022-11-09 01:58:18.177416,2022-10-23 11:24:53.502617,16,2,8,0.2,0.16257649133963728
distinguish,отличать,"to notice or understand the difference between two things, or to make one person or thing seem different from another",He's colour-blind and can't distinguish (the difference) between red and green easily,general,2022-11-09 01:58:18.177416,2022-10-02 00:34:57.587129,38,1,3,0.25,0.17111410600249638
absence,отсутствие,the fact of not being where you are usually expected to be,A new manager was appointed during/in her absence,frequent,2022-11-09 01:58:18.177416,2022-10-23 11:25:23.947336,16,2,7,0.2222222222222222,0.19692230777154873
entrepreneur,предпрениматель,"someone who starts their own business, especially when this involves seeing a new opportunity",He was one of the entrepreneurs of the 80s who made their money in property.,habit,2022-11-09 01:58:18.177416,2022-10-22 21:10:30.831954,17,2,6,0.25,0.23313241009510682
premise,предпосылка,an idea or theory on which a statement or action is based,They had started with the premise that all men are created equal.,general,2022-11-09 01:58:18.177416,2022-10-23 11:26:40.779375,16,2,6,0.25,0.2385240017085923
compile,составлять,"to collect information from different places and arrange it in a book, report, or list",We're compiling some facts and figures for a documentary on the subject,general,2022-11-09 01:58:18.177416,2022-10-23 11:26:21.690891,16,1,3,0.25,0.2385240017085923
absorb,поглощать,"to take something in, especially gradually",Plants absorb carbon dioxide.,frequent,2022-11-09 01:58:18.177416,2022-10-23 11:20:29.422481,16,2,6,0.25,0.2385240017085923
acquisition,приобретение,the process of getting something,The acquisition of huge amounts of data has helped our research enormously,general,2022-11-09 01:58:18.177416,2022-09-19 22:05:22.453059,50,1,2,0.3333333333333333,0.2516923703394717
decipher,расшифровать,to discover the meaning of something written badly or in a difficult or hidden way,Can you decipher the writing on this envelope?,general,2022-11-09 01:58:18.177416,2022-09-19 22:06:16.229350,50,1,2,0.3333333333333333,0.2516923703394717
ridiculous,нелепый,stupid or unreasonable and deserving to be laughed at,Do I look ridiculous in this hat?,general,2022-11-09 01:58:18.177416,2022-09-19 21:58:33.734530,50,1,2,0.3333333333333333,0.2516923703394717
consequence,последствие,"a result of a particular action or situation, often one that is bad or not convenient","I told the hairdresser to do what she wanted to my hair, and look at the consequences!",general,2022-11-09 01:58:18.177416,2022-09-19 22:05:34.695594,50,1,2,0.3333333333333333,0.2516923703394717
compulsive,заядлый,doing something a lot and unable to stop doing it,compulsive gambling,general,2022-11-09 01:58:18.177416,2022-09-21 23:56:48.985495,48,1,2,0.3333333333333333,0.25473128100716586
correspond,соответствовать,to match or be similar or equal,The American FBI corresponds to the British MI5.,general,2022-11-09 01:58:18.177416,2022-10-02 00:33:37.833865,38,1,2,0.3333333333333333,0.2727857763534693
obsession,навязчивая идея,something or someone that you think about all the time,an unhealthy obsession with death,general,2022-11-09 01:58:18.177416,2022-10-23 11:25:46.363369,16,2,5,0.2857142857142857,0.28891444567612623
mediocrity,посредственность,the quality of being not very good,a goal just before half-time rescued the match from mediocrity.,general,2022-11-09 01:58:18.177416,2022-10-31 01:33:14.852073,9,1,3,0.25,0.29492504573007494
consume,потреблять,"to use fuel, energy, time, or a product, especially in large amounts",Our high living standards cause our current population to consume 25 percent of the world's oil.,general,2022-11-09 01:58:18.177416,2022-10-22 19:14:05.158202,17,1,2,0.3333333333333333,0.34400072041927626
infatuated,увлечённый,having a very strong but not usually lasting feeling of love or attraction for someone or something:,She was infatuated with her boss.,general,2022-11-09 01:58:18.177416,2022-10-22 09:31:37.357064,17,1,2,0.3333333333333333,0.34400072041927626
restrict,ограничить,"to limit the movements or actions of someone, or to limit something and reduce its size or prevent it from increasing",measures to restrict the sale of alcohol,general,2022-11-09 01:58:18.177416,2022-10-22 19:05:34.267612,17,1,2,0.3333333333333333,0.34400072041927626
pursuit,преследовать,"the act of following someone or something to try to catch him, her, or it",Three people have been killed in high-speed pursuits by the police recently,general,2022-11-09 01:58:18.177416,2022-10-22 09:27:43.280997,17,1,2,0.3333333333333333,0.34400072041927626
arouse,пробуждать,to cause someone to have a particular feeling,It's a subject that has aroused a lot of interest,general,2022-11-09 01:58:18.177416,2022-10-22 09:30:36.972711,17,1,2,0.3333333333333333,0.34400072041927626
responsibility,обязанность,something that it is your job or duty to deal with,It's her responsibility to ensure the project finishes on time,general,2022-11-09 01:58:18.177416,2022-10-23 11:24:23.601750,16,1,2,0.3333333333333333,0.3499503459711428
apparent,очевидный,obvious,,habits,2022-11-09 01:58:18.177416,2022-10-23 11:24:41.492862,16,1,2,0.3333333333333333,0.3499503459711428
chore,работа по дому,a job or a piece of work is often boring or unpleasant but needs to be done regularly,i'll go shopping when i've done my chores,general,2022-11-09 01:58:18.177416,2022-10-28 17:19:07.529496,11,1,2,0.3333333333333333,0.3884961594004601
controversy,спор,"a lot of disagreement or argument about something, usually because it affects or is important to many people",The policy has caused fierce/heated controversy ever since it was introduced.,general,2022-11-09 01:58:18.177416,2022-09-19 21:30:25.841827,50,1,1,0.5,0.41215115059170826
engage,заинтересовывать,to interest someone in something and keep them thinking about it,"If a book doesn't engage my interest in the first few pages, I don't usually continue reading it.",general,2022-11-09 01:58:18.177416,2022-09-19 21:58:18.097039,50,1,1,0.5,0.41215115059170826
parse,разобрать,to examine computer data and change it into a form that can be easily read or understood,"Before version 3.0, a stream was converted to a string before being parsed.",ml,2022-11-09 01:58:18.177416,2022-09-19 21:58:24.324785,50,1,1,0.5,0.41215115059170826
pretend,притворяться,"to behave as if something is true when you know that it is not, especially in order to deceive people or as a game","He pretended (that) he didn't mind, but I knew that he did.",general,2022-11-09 01:58:18.177416,2022-09-19 22:05:11.329817,50,1,1,0.5,0.41215115059170826
prevent,предотвращать,to stop something from happening or someone from doing something,Label your suitcases to prevent confusion.,general,2022-11-09 01:58:18.177416,2022-09-19 22:04:55.531985,50,1,1,0.5,0.41215115059170826
doubt,сомнение,"not being certain about something, especcially about how good or true is it","He's the most attractive man in the room, no doubt about that/it",general,2022-11-09 01:58:18.177416,2022-09-19 21:30:16.219654,50,1,1,0.5,0.41215115059170826
ambiguous,двусмысленный,"having or expressing more than one possible meaning, sometimes intentionally",His reply to my question was somewhat ambiguous.,general,2022-11-09 01:58:18.177416,2022-09-19 22:04:43.025554,50,1,1,0.5,0.41215115059170826
ceiling,потолок,the inside surface of a room that you can see when you look above you,,general,2022-11-09 01:58:18.177416,2022-09-20 11:14:31.720599,49,1,1,0.5,0.41378672244072234
shrink,сокращаться,"to become smaller, or to make something smaller",general,general,2022-11-09 01:58:18.177416,2022-09-20 11:14:27.237229,49,1,1,0.5,0.41378672244072234
unconscious,"in the state of not being awake and not aware of things around you, especially as the result of a head injury",бессознательный,collective unconscious,general,2022-11-09 01:58:18.177416,2022-09-20 11:13:35.586016,49,1,1,0.5,0.41378672244072234
maintenance,обслуживание,"the work needed to keep a road, building, machine, etc. in good condition",Old houses need a lot of maintenance.,general,2022-11-09 01:58:18.177416,2022-09-21 23:50:40.113259,48,1,1,0.5,0.4154620271395934
struggle,бороться,to experience difficulty and make a very great effort in order to do something,The dog had been struggling to get free of the wire noose.,general,2022-11-09 01:58:18.177416,2022-09-21 23:56:26.020751,48,1,1,0.5,0.4154620271395934
adultery,прелюбодеяние,sex between a married man or woman and someone he or she is not married to,Many people in public life have committed adultery.,general,2022-11-09 01:58:18.177416,2022-09-21 23:50:51.677081,48,1,1,0.5,0.4154620271395934
crucial,ключевой,extremely important or necessary,"which is why understanding
the details is crucial",habit,2022-11-09 01:58:18.177416,2022-10-22 21:10:12.856893,17,2,3,0.4,0.41786664039722654
interrupt,прерывать,to stop a person from speaking for a short period by something you say or do,She tried to explain what had happened but he kept interrupting her,general,2022-11-09 01:58:18.177416,2022-10-02 00:32:26.670852,38,1,1,0.5,0.4348681795975335
